Data Year,Fuel Type,ZIP,Number of Vehicles
2022,Battery Electric (BEV),95865,6
2022,Battery Electric (BEV),95864,625
2022,Battery Electric (BEV),95860,2
2022,Battery Electric (BEV),95852,3
2022,Battery Electric (BEV),95851,3
2022,Battery Electric (BEV),95843,469
2022,Battery Electric (BEV),95842,156
2022,Battery Electric (BEV),95841,120
2022,Battery Electric (BEV),95838,156
2022,Battery Electric (BEV),95837,17
2022,Battery Electric (BEV),95835,932
2022,Battery Electric (BEV),95834,836
2022,Battery Electric (BEV),95833,340
2022,Battery Electric (BEV),95832,44
2022,Battery Electric (BEV),95831,698
2022,Battery Electric (BEV),95830,15
2022,Battery Electric (BEV),95829,722
2022,Battery Electric (BEV),95828,399
2022,Battery Electric (BEV),95827,187
2022,Battery Electric (BEV),95826,281
2022,Battery Electric (BEV),95825,230
2022,Battery Electric (BEV),95824,91
2022,Battery Electric (BEV),95823,268
2022,Battery Electric (BEV),95822,440
2022,Battery Electric (BEV),95821,248
2022,Battery Electric (BEV),95820,205
2022,Battery Electric (BEV),95819,519
2022,Battery Electric (BEV),95818,533
2022,Battery Electric (BEV),95817,148
2022,Battery Electric (BEV),95816,778
2022,Battery Electric (BEV),95815,95
2022,Battery Electric (BEV),95814,477
2022,Battery Electric (BEV),95813,1
2022,Battery Electric (BEV),95812,9
2022,Battery Electric (BEV),95811,159
2022,Battery Electric (BEV),95798,5
2022,Battery Electric (BEV),95776,373
2022,Battery Electric (BEV),95765,1146
2022,Battery Electric (BEV),95763,5
2022,Battery Electric (BEV),95762,1995
2022,Battery Electric (BEV),95759,2
2022,Battery Electric (BEV),95758,918
2022,Battery Electric (BEV),95757,1478
2022,Battery Electric (BEV),95747,2086
2022,Battery Electric (BEV),95746,919
2022,Battery Electric (BEV),95742,595
2022,Battery Electric (BEV),95741,3
2022,Battery Electric (BEV),95736,5
2022,Battery Electric (BEV),95735,2
2022,Battery Electric (BEV),95728,10
2022,Battery Electric (BEV),95726,44
2022,Battery Electric (BEV),95724,3
2022,Battery Electric (BEV),95722,95
2022,Battery Electric (BEV),95720,1
2022,Battery Electric (BEV),95715,2
2022,Battery Electric (BEV),95714,1
2022,Battery Electric (BEV),95713,87
2022,Battery Electric (BEV),95712,4
2022,Battery Electric (BEV),95709,42
2022,Battery Electric (BEV),95703,15
2022,Battery Electric (BEV),95701,4
2022,Battery Electric (BEV),95699,1
2022,Battery Electric (BEV),95698,3
2022,Battery Electric (BEV),95696,3
2022,Battery Electric (BEV),95695,235
2022,Battery Electric (BEV),95694,107
2022,Battery Electric (BEV),95693,117
2022,Battery Electric (BEV),95692,18
2022,Battery Electric (BEV),95691,613
2022,Battery Electric (BEV),95690,21
2022,Battery Electric (BEV),95689,10
2022,Battery Electric (BEV),95688,548
2022,Battery Electric (BEV),95687,680
2022,Battery Electric (BEV),95686,8
2022,Battery Electric (BEV),95685,54
2022,Battery Electric (BEV),95684,21
2022,Battery Electric (BEV),95683,156
2022,Battery Electric (BEV),95682,382
2022,Battery Electric (BEV),95681,11
2022,Battery Electric (BEV),95680,1
2022,Battery Electric (BEV),95679,3
2022,Battery Electric (BEV),95678,568
