_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
278,2022,91221,CA,Glendale,Los Angeles,196,"20,107,174","981,257"
279,2022,91222,CA,Glendale,Los Angeles,73,"8,417,395","469,438"
280,2022,91224,CA,La Crescenta,Los Angeles,115,"16,100,415","825,875"
281,2022,91225,CA,Glendale,Los Angeles,142,"10,090,819","403,168"
282,2022,91226,CA,Glendale,Los Angeles,183,"14,259,124","561,500"
283,2022,91301,CA,Agoura Hills,Los Angeles,"11,886","2,163,164,836","127,089,342"
284,2022,91302,CA,Calabasas,Los Angeles,"11,737","3,971,113,676","260,834,938"
285,2022,91303,CA,Canoga Park,Los Angeles,"12,605","697,890,639","21,209,598"
286,2022,91304,CA,Canoga Park,Los Angeles,"22,852","1,761,108,294","67,286,026"
287,2022,91305,CA,Canoga Park,Los Angeles,49,"2,425,393","70,942"
288,2022,91306,CA,Winnetka,Los Angeles,"21,335","1,298,873,378","39,718,663"
289,2022,91307,CA,West Hills,Los Angeles,"11,643","1,581,119,494","80,501,569"
290,2022,91308,CA,West Hills,Los Angeles,230,"21,361,141","924,504"
291,2022,91309,CA,Canoga Park,Los Angeles,191,"13,392,600","624,218"
292,2022,91310,CA,Castaic,Los Angeles,73,"5,158,383","172,116"
293,2022,91311,CA,Chatsworth,Los Angeles,"18,846","2,082,005,861","95,665,597"
294,2022,91313,CA,Chatsworth,Los Angeles,278,"29,085,215","1,716,714"
295,2022,91316,CA,Encino,Los Angeles,"13,423","2,516,184,217","144,560,011"
296,2022,91319,CA,Newbury Park,Ventura,205,"22,627,784","1,167,676"
297,2022,91320,CA,Newbury Park,Ventura,"20,746","2,788,549,064","142,835,950"
298,2022,91321,CA,Newhall,Los Angeles,"14,965","1,156,584,820","42,394,316"
299,2022,91322,CA,Newhall,Los Angeles,200,"17,446,955","803,164"
300,2022,91324,CA,Northridge,Los Angeles,"13,943","1,126,755,612","44,152,327"
301,2022,91325,CA,Northridge,Los Angeles,"16,217","1,331,500,936","55,773,585"
302,2022,91326,CA,Northridge,Los Angeles,"17,997","2,568,520,655","131,209,979"
303,2022,91327,CA,Northridge,Los Angeles,177,"16,594,958","798,012"
304,2022,91328,CA,Northridge,Los Angeles,138,"9,371,669","378,642"
305,2022,91330,CA,Northridge,Los Angeles,44,"1,642,218","34,800"
306,2022,91331,CA,Pacoima,Los Angeles,"42,149","1,967,561,199","36,791,980"
307,2022,91333,CA,Pacoima,Los Angeles,204,"8,418,688","140,442"
308,2022,91334,CA,Pacoima,Los Angeles,60,"3,393,308","85,450"
309,2022,91335,CA,Reseda,Los Angeles,"33,756","1,950,838,275","58,679,891"
310,2022,91337,CA,Reseda,Los Angeles,206,"13,557,729","465,135"
311,2022,91340,CA,San Fernando,Los Angeles,"14,786","732,553,184","15,031,820"
312,2022,91341,CA,San Fernando,Los Angeles,130,"9,699,977","409,778"
313,2022,91342,CA,Sylmar,Los Angeles,"41,970","2,508,160,413","66,693,725"
314,2022,91343,CA,North Hills,Los Angeles,"25,931","1,612,215,937","49,464,098"
315,2022,91344,CA,Granada Hills,Los Angeles,"24,473","2,284,350,266","95,084,517"
316,2022,91345,CA,Mission Hills,Los Angeles,"8,946","542,563,272","14,506,180"
317,2022,91346,CA,Mission Hills,Los Angeles,156,"14,985,011","723,790"
318,2022,91350,CA,Santa Clarita,Los Angeles,"19,581","2,223,396,813","93,709,809"
319,2022,91351,CA,Canyon Country,Los Angeles,"15,975","1,141,171,962","36,011,242"
320,2022,91352,CA,Sun Valley,Los Angeles,"20,141","1,202,869,734","31,578,006"
321,2022,91353,CA,Sun Valley,Los Angeles,141,"7,084,525","176,653"
322,2022,91354,CA,Valencia,Los Angeles,"14,781","1,845,128,055","82,794,443"
323,2022,91355,CA,Valencia,Los Angeles,"15,056","1,722,421,666","76,942,354"
324,2022,91356,CA,Tarzana,Los Angeles,"13,687","2,191,193,252","117,394,110"
325,2022,91357,CA,Tarzana,Los Angeles,383,"41,017,665","1,859,841"
326,2022,91358,CA,Thousand Oaks,Ventura,132,"8,715,988","312,080"
327,2022,91359,CA,Westlake Village,Ventura,558,"58,141,215","3,163,640"
328,2022,91360,CA,Thousand Oaks,Ventura,"19,713","2,248,569,391","107,854,064"
329,2022,91361,CA,Westlake Village,Ventura,"9,974","2,504,210,881","219,761,135"
330,2022,91362,CA,Thousand Oaks,Ventura,"17,443","3,345,315,321","200,958,451"
331,2022,91364,CA,Woodland Hills,Los Angeles,"12,849","2,599,394,721","147,605,926"
