County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,14,66,1633,1554,315,43,3625
Alpine,0,0,14,1,0,0,15
Amador,0,0,25,7,8,0,40
Butte,6,0,41,22,21,2,92
Calaveras,0,2,7,0,12,0,21
Colusa,0,0,18,2,14,0,34
Contra Costa,7,2,599,660,208,7,1483
Del Norte,0,0,12,0,17,0,29
El Dorado,1,0,124,6,49,1,181
Fresno,8,1,566,346,209,13,1143
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,107,13,21,1,142
Imperial,0,0,8,13,12,0,33
Inyo,0,0,6,6,26,1,39
Kern,4,1,126,52,171,5,359
Kings,0,0,43,60,45,0,148
Lake,0,0,14,3,0,0,17
Lassen,0,1,4,1,8,0,14
Los Angeles,33,147,7124,12141,944,131,20520
Madera,0,1,53,19,49,0,122
Marin,4,0,449,189,87,5,734
Mariposa,0,0,20,0,10,0,30
Mendocino,0,0,108,13,37,0,158
Merced,10,2,51,37,39,3,142
Modoc,0,0,4,0,8,0,12
Mono,0,0,20,0,12,0,32
Monterey,9,0,230,80,105,1,425
Napa,0,0,314,31,43,2,390
Nevada,0,1,48,7,33,0,89
Orange,9,0,2638,2477,495,38,5657
Placer,0,1,185,102,111,3,402
Plumas,0,0,7,0,0,0,7
Riverside,7,1,929,199,350,9,1495
Sacramento,68,18,732,793,218,7,1836
San Benito,0,0,14,10,25,0,49
San Bernardino,3,11,557,545,318,44,1478
San Diego,2,17,1938,4901,364,56,7278
San Francisco,52,6,695,957,104,26,1840
San Joaquin,0,0,143,174,80,10,407
San Luis Obispo,0,1,304,105,102,1,513
San Mateo,2,36,2124,2232,267,40,4701
Santa Barbara,5,2,295,168,49,3,522
Santa Clara,3,75,3756,12011,551,102,16498
Santa Cruz,1,0,158,89,58,0,306
Shasta,0,0,25,58,6,3,92
Sierra,0,0,1,0,0,0,1
Siskiyou,0,1,20,4,43,0,68
Solano,5,0,230,101,81,4,421
Sonoma,7,0,435,247,97,17,803
Stanislaus,0,1,57,43,44,13,158
Sutter,0,0,12,9,12,0,33
Tehama,0,0,7,4,20,0,31
Trinity,0,0,4,0,2,0,6
Tulare,0,3,42,12,45,22,124
Tuolumne,0,0,32,8,14,0,54
Unknown,0,0,0,11,0,0,11
Ventura,8,0,417,325,125,19,894
Yolo,12,0,196,130,50,0,388
Yuba,0,0,9,7,0,0,16
Total,280,397,27734,40985,6144,632,76172
