County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,4,72,1625,2488,398,37,4624
Alpine,0,0,10,0,0,0,10
Amador,0,0,26,0,8,0,34
Butte,6,0,63,55,25,0,149
Calaveras,0,2,9,0,12,0,23
Colusa,0,0,16,2,18,0,36
Contra Costa,0,2,689,758,279,6,1734
Del Norte,0,0,16,1,28,2,47
El Dorado,1,0,155,4,53,1,214
Fresno,23,1,483,506,285,15,1313
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,111,10,36,0,157
Imperial,0,0,13,12,24,1,50
Inyo,0,0,4,5,44,1,54
Kern,5,1,221,260,306,4,797
Kings,0,0,60,247,112,0,419
Lake,0,0,17,0,0,0,17
Lassen,0,1,7,0,8,0,16
Los Angeles,33,120,8213,18893,1906,268,29433
Madera,0,1,72,40,79,10,202
Marin,0,0,476,509,97,0,1082
Mariposa,0,0,27,0,32,0,59
Mendocino,0,0,135,20,59,0,214
Merced,10,2,51,31,58,3,155
Modoc,0,0,4,0,8,0,12
Mono,0,0,19,7,12,0,38
Monterey,0,0,254,71,154,1,480
Napa,0,0,346,54,42,0,442
Nevada,0,1,43,43,57,0,144
Orange,1,0,3103,2002,874,22,6002
Placer,0,1,274,106,137,4,522
Plumas,0,0,7,0,0,0,7
Riverside,0,1,1098,219,506,11,1835
Sacramento,65,18,1053,741,308,20,2205
San Benito,0,0,14,10,5,0,29
San Bernardino,1,11,741,494,562,32,1841
San Diego,0,17,2565,4879,604,29,8094
San Francisco,9,6,748,1134,139,34,2070
San Joaquin,0,0,286,280,148,14,728
San Luis Obispo,0,1,394,174,134,2,705
San Mateo,34,36,2122,2235,361,10,4798
Santa Barbara,0,2,280,132,110,2,526
Santa Clara,2,75,3995,13362,698,61,18193
Santa Cruz,0,0,196,97,76,0,369
Shasta,0,0,85,48,42,4,179
Sierra,0,0,2,0,0,0,2
Siskiyou,0,1,20,0,48,0,69
Solano,2,0,244,183,147,2,578
Sonoma,0,0,502,228,122,19,871
Stanislaus,0,1,84,47,67,3,202
Sutter,0,0,9,5,16,1,31
Tehama,0,0,12,46,32,1,91
Trinity,0,0,4,0,8,0,12
Tulare,0,3,116,64,69,23,275
Tuolumne,0,0,32,12,10,0,54
Ventura,4,0,380,320,165,6,875
Yolo,14,0,223,132,59,4,432
Yuba,0,0,21,51,8,0,80
Unknown,0,6,0,801,0,0,807
Total,214,382,31779,51818,9605,653,94451
