Data Year,Quarter,COUNTY,Total LDV Sales,ZEV Sales,ZEV Sales Share
2021,Q2,Sonoma,4543,647,0.142416905128769
2021,Q2,Stanislaus,4790,266,0.0555323590814196
2021,Q2,Sutter,907,47,0.051819184123484
2021,Q2,Tehama,477,22,0.0461215932914046
2021,Q2,Trinity,53,0,0.0
2021,Q2,Tulare,4125,146,0.0353939393939393
2021,Q2,Tuolumne,390,24,0.0615384615384615
2021,Q2,Ventura,10749,1191,0.110801004744627
2021,Q2,Yolo,1721,241,0.140034863451481
2021,Q2,Yuba,657,35,0.0532724505327245
2021,Q3,Alameda,13725,3288,0.239562841530054
2021,Q3,Alpine,37,4,0.108108108108108
2021,Q3,Amador,247,17,0.068825910931174
2021,Q3,Butte,1262,93,0.0736925515055467
2021,Q3,Calaveras,372,26,0.0698924731182795
2021,Q3,Colusa,142,2,0.0140845070422535
2021,Q3,Contra Costa,10967,2105,0.191939454727819
2021,Q3,Del Norte,91,2,0.0219780219780219
2021,Q3,El Dorado,1647,202,0.122647237401335
2021,Q3,Fresno,7496,557,0.0743062966915688
2021,Q3,Glenn,196,5,0.0255102040816326
2021,Q3,Humboldt,664,55,0.0828313253012048
2021,Q3,Imperial,2335,66,0.0282655246252676
2021,Q3,Inyo,139,7,0.0503597122302158
2021,Q3,Kern,7603,405,0.0532684466657898
2021,Q3,Kings,1154,48,0.0415944540727903
2021,Q3,Lake,281,18,0.0640569395017793
2021,Q3,Lassen,134,1,0.00746268656716417
2021,Q3,Los Angeles,115717,15049,0.130050035863356
2021,Q3,Madera,977,53,0.0542476970317297
2021,Q3,Marin,2873,789,0.274625826662025
2021,Q3,Mariposa,104,9,0.0865384615384615
2021,Q3,Mendocino,507,42,0.0828402366863905
2021,Q3,Merced,1749,106,0.0606060606060606
2021,Q3,Modoc,39,0,0.0
2021,Q3,Mono,104,3,0.0288461538461538
2021,Q3,Monterey,3048,328,0.10761154855643
2021,Q3,Napa,1212,201,0.165841584158415
2021,Q3,Nevada,661,82,0.124054462934947
2021,Q3,Orange,40522,7030,0.173486007600809
2021,Q3,Out Of State,18586,937,0.0504142903260518
2021,Q3,Placer,4149,660,0.159074475777295
2021,Q3,Plumas,103,7,0.0679611650485436
2021,Q3,Riverside,27074,2767,0.102201374011967
2021,Q3,Sacramento,11784,1350,0.114562118126272
2021,Q3,San Benito,653,88,0.134762633996937
2021,Q3,San Bernardino,22794,1995,0.0875230323769413
2021,Q3,San Diego,35092,5355,0.152598882936281
2021,Q3,San Francisco,6586,1478,0.224415426662617
2021,Q3,San Joaquin,6586,703,0.106741573033707
2021,Q3,San Luis Obispo,2021,294,0.145472538347352
2021,Q3,San Mateo,8341,1693,0.202973264596571
2021,Q3,Santa Barbara,3447,440,0.127647229474905
2021,Q3,Santa Clara,18833,4797,0.254712472787129
2021,Q3,Santa Cruz,1789,314,0.175517048630519
2021,Q3,Shasta,1229,87,0.0707892595606183
2021,Q3,Sierra,14,1,0.0714285714285714
2021,Q3,Siskiyou,228,8,0.0350877192982456
2021,Q3,Solano,3919,487,0.124266394488389
2021,Q3,Sonoma,3966,603,0.152042360060514
2021,Q3,Stanislaus,4003,317,0.0791906070447164
2021,Q3,Sutter,810,53,0.0654320987654321
2021,Q3,Tehama,336,11,0.0327380952380952
2021,Q3,Trinity,57,3,0.0526315789473684
2021,Q3,Tulare,3356,145,0.0432061978545888
2021,Q3,Tuolumne,338,22,0.0650887573964497
2021,Q3,Ventura,8645,1200,0.138808559861191
2021,Q3,Yolo,1567,197,0.125717932354818
2021,Q3,Yuba,537,21,0.0391061452513966
2021,Q4,Alameda,11509,3350,0.291076548787905
2021,Q4,Alpine,9,0,0.0
2021,Q4,Amador,213,22,0.103286384976525
2021,Q4,Butte,1000,70,0.07
2021,Q4,Calaveras,306,20,0.065359477124183
2021,Q4,Colusa,144,8,0.0555555555555555
2021,Q4,Contra Costa,9401,2150,0.228699074566535
2021,Q4,Del Norte,95,6,0.0631578947368421
2021,Q4,El Dorado,1492,223,0.149463806970509
2021,Q4,Fresno,5886,559,0.0949711179068977
2021,Q4,Glenn,132,9,0.0681818181818181
2021,Q4,Humboldt,544,60,0.110294117647058
2021,Q4,Imperial,1882,48,0.0255047821466524
2021,Q4,Inyo,139,7,0.0503597122302158
2021,Q4,Kern,5975,403,0.0674476987447698
2021,Q4,Kings,872,57,0.0653669724770642
2021,Q4,Lake,249,16,0.0642570281124498
2021,Q4,Lassen,137,1,0.0072992700729927
2021,Q4,Los Angeles,95333,15921,0.167004080433847
2021,Q4,Madera,828,83,0.100241545893719
2021,Q4,Marin,2572,830,0.322706065318818
2021,Q4,Mariposa,52,3,0.0576923076923076
2021,Q4,Mendocino,427,39,0.0913348946135831
2021,Q4,Merced,1462,100,0.0683994528043775
2021,Q4,Modoc,30,2,0.0666666666666666
2021,Q4,Mono,90,11,0.122222222222222
2021,Q4,Monterey,2508,320,0.127591706539074
2021,Q4,Napa,992,196,0.19758064516129
2021,Q4,Nevada,606,82,0.135313531353135
2021,Q4,Orange,35701,7503,0.210162180331083
2021,Q4,Out Of State,15018,760,0.0506059395392196
2021,Q4,Placer,3718,681,0.183162990855298
2021,Q4,Plumas,108,13,0.12037037037037
2021,Q4,Riverside,22776,2782,0.122146118721461
2021,Q4,Sacramento,9917,1494,0.150650398305939
2021,Q4,San Benito,537,66,0.12290502793296
2021,Q4,San Bernardino,18829,2057,0.109246375272186
2021,Q4,San Diego,29829,5158,0.172918971470716
2021,Q4,San Francisco,5616,1546,0.2752849002849
2021,Q4,San Joaquin,5725,761,0.132925764192139
2021,Q4,San Luis Obispo,1795,277,0.154317548746518
2021,Q4,San Mateo,8219,2032,0.247232023360506
2021,Q4,Santa Barbara,3132,457,0.145913154533844
2021,Q4,Santa Clara,16393,5443,0.332031964863051
2021,Q4,Santa Cruz,1543,332,0.215165262475696
2021,Q4,Shasta,1086,82,0.0755064456721915
2021,Q4,Sierra,14,0,0.0
2021,Q4,Siskiyou,231,11,0.0476190476190476
2021,Q4,Solano,3266,500,0.153092467850581
2021,Q4,Sonoma,3379,560,0.165729505770938
2021,Q4,Stanislaus,3213,282,0.0877684407096171
2021,Q4,Sutter,640,61,0.0953125
2021,Q4,Tehama,266,16,0.0601503759398496
2021,Q4,Trinity,51,2,0.0392156862745098
2021,Q4,Tulare,2796,130,0.0464949928469241
2021,Q4,Tuolumne,323,26,0.0804953560371517
2021,Q4,Ventura,7387,1347,0.182347366996074
2021,Q4,Yolo,1427,224,0.15697266993693
2021,Q4,Yuba,427,41,0.0960187353629976
2022,Q1,Alameda,13525,4206,0.310979667282809
2022,Q1,Alpine,9,0,0.0
2022,Q1,Amador,243,20,0.0823045267489712
2022,Q1,Butte,1203,92,0.0764754779717373
2022,Q1,Calaveras,364,36,0.0989010989010989
2022,Q1,Colusa,138,2,0.0144927536231884
2022,Q1,Contra Costa,10296,2510,0.243783993783993
2022,Q1,Del Norte,98,2,0.0204081632653061
2022,Q1,El Dorado,1629,242,0.148557397176181
2022,Q1,Fresno,6678,633,0.0947888589398023
2022,Q1,Glenn,173,8,0.0462427745664739
2022,Q1,Humboldt,647,62,0.0958268933539412
2022,Q1,Imperial,2148,57,0.026536312849162
2022,Q1,Inyo,156,9,0.0576923076923076
2022,Q1,Kern,6947,444,0.0639124802072837
2022,Q1,Kings,930,52,0.0559139784946236
2022,Q1,Lake,289,23,0.0795847750865051
2022,Q1,Lassen,122,0,0.0
2022,Q1,Los Angeles,115307,18350,0.159140381763466
2022,Q1,Madera,950,51,0.0536842105263157
2022,Q1,Marin,2775,831,0.299459459459459
2022,Q1,Mariposa,79,4,0.050632911392405
2022,Q1,Mendocino,504,38,0.0753968253968253
2022,Q1,Merced,1564,117,0.0748081841432225
2022,Q1,Modoc,41,0,0.0
2022,Q1,Mono,89,5,0.0561797752808988
2022,Q1,Monterey,2729,376,0.137779406375961
2022,Q1,Napa,1165,238,0.204291845493562
2022,Q1,Nevada,639,85,0.133020344287949
2022,Q1,Orange,40917,9421,0.230246596769069
2022,Q1,Out Of State,16999,325,0.0191187716924524
2022,Q1,Placer,4272,763,0.178604868913857
2022,Q1,Plumas,101,7,0.0693069306930693
2022,Q1,Riverside,25394,3340,0.131527132393478
2022,Q1,Sacramento,11683,1696,0.145168193101087
2022,Q1,San Benito,530,96,0.181132075471698
2022,Q1,San Bernardino,21221,2465,0.116158522218557
2022,Q1,San Diego,34811,5872,0.168682313061963
2022,Q1,San Francisco,6265,1716,0.27390263367917
2022,Q1,San Joaquin,6181,922,0.149166801488432
2022,Q1,San Luis Obispo,2135,307,0.143793911007025
2022,Q1,San Mateo,11664,4217,0.361539780521262
2022,Q1,Santa Barbara,3398,488,0.143613890523837
2022,Q1,Santa Clara,18419,6248,0.339214941093436
2022,Q1,Santa Cruz,1769,361,0.204070096099491
2022,Q1,Shasta,1227,89,0.0725346373268133
2022,Q1,Sierra,12,0,0.0
2022,Q1,Siskiyou,190,7,0.0368421052631578
2022,Q1,Solano,3523,486,0.137950610275333
2022,Q1,Sonoma,3811,655,0.171870900026239
2022,Q1,Stanislaus,3838,338,0.0880667014069828
2022,Q1,Sutter,752,53,0.0704787234042553
2022,Q1,Tehama,330,9,0.0272727272727272
2022,Q1,Trinity,50,4,0.08
2022,Q1,Tulare,3027,146,0.0482325735051205
