Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),90631,1737
2023,Battery Electric (BEV),90632,4
2023,Battery Electric (BEV),90633,3
2023,Battery Electric (BEV),90637,1
2023,Battery Electric (BEV),90638,1254
2023,Battery Electric (BEV),90639,2
2023,Battery Electric (BEV),90640,802
2023,Battery Electric (BEV),90650,1249
2023,Battery Electric (BEV),90651,1
2023,Battery Electric (BEV),90660,552
2023,Battery Electric (BEV),90661,1
2023,Battery Electric (BEV),90662,1
2023,Battery Electric (BEV),90670,430
2023,Battery Electric (BEV),90680,560
2023,Battery Electric (BEV),90701,367
2023,Battery Electric (BEV),90702,2
2023,Battery Electric (BEV),90703,2709
2023,Battery Electric (BEV),90704,28
2023,Battery Electric (BEV),90706,881
2023,Battery Electric (BEV),90707,3
2023,Battery Electric (BEV),90710,495
2023,Battery Electric (BEV),90712,771
2023,Battery Electric (BEV),90713,566
2023,Battery Electric (BEV),90714,1
2023,Battery Electric (BEV),90715,335
2023,Battery Electric (BEV),90716,83
2023,Battery Electric (BEV),90717,392
2023,Battery Electric (BEV),90720,1030
2023,Battery Electric (BEV),90723,307
2023,Battery Electric (BEV),90731,741
2023,Battery Electric (BEV),90732,597
2023,Battery Electric (BEV),90733,3
2023,Battery Electric (BEV),90734,6
2023,Battery Electric (BEV),90740,906
2023,Battery Electric (BEV),90742,52
2023,Battery Electric (BEV),90743,33
2023,Battery Electric (BEV),90744,236
2023,Battery Electric (BEV),90745,872
2023,Battery Electric (BEV),90746,575
2023,Battery Electric (BEV),90748,2
2023,Battery Electric (BEV),90749,4
2023,Battery Electric (BEV),90755,429
2023,Battery Electric (BEV),90801,4
2023,Battery Electric (BEV),90802,813
2023,Battery Electric (BEV),90803,1190
2023,Battery Electric (BEV),90804,390
2023,Battery Electric (BEV),90805,745
2023,Battery Electric (BEV),90806,481
2023,Battery Electric (BEV),90807,972
2023,Battery Electric (BEV),90808,1249
2023,Battery Electric (BEV),90810,289
2023,Battery Electric (BEV),90813,234
2023,Battery Electric (BEV),90814,483
2023,Battery Electric (BEV),90815,1112
2023,Battery Electric (BEV),90831,2
2023,Battery Electric (BEV),90853,1
2023,Battery Electric (BEV),90895,1
2023,Battery Electric (BEV),91001,1645
2023,Battery Electric (BEV),91003,1
2023,Battery Electric (BEV),91006,2135
2023,Battery Electric (BEV),91007,1669
2023,Battery Electric (BEV),91008,92
2023,Battery Electric (BEV),91009,4
2023,Battery Electric (BEV),91010,512
2023,Battery Electric (BEV),91011,2019
2023,Battery Electric (BEV),91012,9
2023,Battery Electric (BEV),91016,1173
2023,Battery Electric (BEV),91017,7
2023,Battery Electric (BEV),91020,251
2023,Battery Electric (BEV),91021,2
2023,Battery Electric (BEV),91024,544
2023,Battery Electric (BEV),91025,4
2023,Battery Electric (BEV),91030,1326
2023,Battery Electric (BEV),91031,13
2023,Battery Electric (BEV),91040,839
2023,Battery Electric (BEV),91041,3
2023,Battery Electric (BEV),91042,925
2023,Battery Electric (BEV),91043,1
2023,Battery Electric (BEV),91046,6
2023,Battery Electric (BEV),91066,12
2023,Battery Electric (BEV),91077,3
2023,Battery Electric (BEV),91101,727
2023,Battery Electric (BEV),91102,5
2023,Battery Electric (BEV),91103,787
2023,Battery Electric (BEV),91104,1180
2023,Battery Electric (BEV),91105,1069
2023,Battery Electric (BEV),91106,987
2023,Battery Electric (BEV),91107,1757
